[08:57:08] Episode 11 | Step 19 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 11 | Step 28 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 11 | Step 28 | Defender gained 20.0 reward | Detection: 0.4
[08:57:08] Episode 11 | Step 31 | Defender gained 20.0 reward | Detection: 0.4
[08:57:08] Episode 11 | Step 33 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 11 | Step 34 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 11 | Step 35 | Defender gained 15.0 reward | Detection: 0.45
[08:57:08] Episode 11 | Step 36 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 11 | Step 36 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 11 | Step 39 | Defender gained 15.0 reward | Detection: 0.5
[08:57:08] Episode 11 | Step 40 | Defender gained 20.0 reward | Detection: 0.5
[08:57:08] Episode 11 | Step 43 | Defender gained 15.0 reward | Detection: 0.55
[08:57:08] Episode 11 | Step 44 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 11 | Step 48 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 11 | Step 49 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 12 | Step 1 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 12 | Step 2 | Defender gained 20.0 reward | Detection: 0.1
[08:57:08] Episode 12 | Step 5 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 12 | Step 10 | Defender gained 15.0 reward | Detection: 0.3
[08:57:08] Episode 12 | Step 12 | Defender gained 15.0 reward | Detection: 0.3
[08:57:08] Episode 12 | Step 13 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 12 | Step 14 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 12 | Step 15 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 12 | Step 19 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 12 | Step 23 | Defender gained 15.0 reward | Detection: 0.4
[08:57:08] Episode 12 | Step 25 | Defender gained 20.0 reward | Detection: 0.4
[08:57:08] Episode 12 | Step 27 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 12 | Step 29 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 12 | Step 30 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 12 | Step 31 | Defender gained 15.0 reward | Detection: 0.6
[08:57:08] Episode 12 | Step 38 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 12 | Step 42 | Defender gained 15.0 reward | Detection: 0.6
[08:57:08] Episode 12 | Step 43 | Defender gained 15.0 reward | Detection: 0.6
[08:57:08] Episode 12 | Step 44 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 12 | Step 44 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 12 | Step 49 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 12 | Step 49 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 13 | Step 5 | Defender gained 15.0 reward | Detection: 0.1
[08:57:08] Episode 13 | Step 20 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 14 | Step 4 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 15 | Step 2 | Defender gained 15.0 reward | Detection: 0.1
[08:57:08] Episode 15 | Step 5 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 15 | Step 5 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 15 | Step 19 | Defender gained 20.0 reward | Detection: 0.25
[08:57:08] Episode 15 | Step 23 | Defender gained 20.0 reward | Detection: 0.25
[08:57:08] Episode 15 | Step 24 | Defender gained 20.0 reward | Detection: 0.25
[08:57:08] Episode 15 | Step 27 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 15 | Step 29 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 15 | Step 30 | Defender gained 15.0 reward | Detection: 0.25
[08:57:08] Episode 15 | Step 35 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 15 | Step 38 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 15 | Step 39 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 15 | Step 40 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 15 | Step 44 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 15 | Step 48 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 16 | Step 3 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 16 | Step 4 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 16 | Step 6 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 16 | Step 7 | Defender gained 15.0 reward | Detection: 0.15
[08:57:08] Episode 16 | Step 9 | Defender gained 20.0 reward | Detection: 0.2
[08:57:08] Episode 16 | Step 10 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 16 | Step 12 | Attacker gained 20.0 reward | Position: N2
[08:57:08] Episode 16 | Step 13 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 16 | Step 15 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 16 | Step 17 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 17 | Step 2 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 17 | Step 3 | Defender gained 20.0 reward | Detection: 0.1
[08:57:08] Episode 17 | Step 7 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 17 | Step 12 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 17 | Step 15 | Defender gained 20.0 reward | Detection: 0.25
[08:57:08] Episode 17 | Step 16 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 17 | Step 21 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 17 | Step 21 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 17 | Step 22 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 17 | Step 24 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 17 | Step 25 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 17 | Step 28 | Defender gained 15.0 reward | Detection: 0.45
[08:57:08] Episode 17 | Step 33 | Defender gained 15.0 reward | Detection: 0.5
[08:57:08] Episode 17 | Step 35 | Defender gained 20.0 reward | Detection: 0.5
[08:57:08] Episode 17 | Step 41 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 17 | Step 41 | Defender gained 20.0 reward | Detection: 0.55
[08:57:08] Episode 17 | Step 43 | Defender gained 20.0 reward | Detection: 0.55
[08:57:08] Episode 17 | Step 44 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 17 | Step 47 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 17 | Step 48 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 17 | Step 49 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 17 | Step 50 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 18 | Step 21 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 18 | Step 23 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 18 | Step 25 | Defender gained 20.0 reward | Detection: 0.25
[08:57:08] Episode 18 | Step 26 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 19 | Step 1 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 19 | Step 4 | Attacker gained 150.0 reward | Position: N4
[08:57:08] Episode 20 | Step 1 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 20 | Step 5 | Defender gained 20.0 reward | Detection: 0.25
[08:57:08] Episode 20 | Step 6 | Defender gained 20.0 reward | Detection: 0.25
[08:57:08] Episode 20 | Step 11 | Defender gained 15.0 reward | Detection: 0.35
[08:57:08] Episode 20 | Step 12 | Defender gained 15.0 reward | Detection: 0.35
[08:57:08] Episode 20 | Step 15 | Defender gained 20.0 reward | Detection: 0.4
[08:57:08] Episode 20 | Step 18 | Defender gained 15.0 reward | Detection: 0.45
[08:57:08] Episode 20 | Step 19 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 21 | Step 3 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 21 | Step 11 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 22 | Step 7 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 22 | Step 11 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 22 | Step 12 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 22 | Step 16 | Defender gained 15.0 reward | Detection: 0.2
[08:57:08] Episode 22 | Step 18 | Defender gained 20.0 reward | Detection: 0.2
[08:57:08] Episode 22 | Step 21 | Defender gained 20.0 reward | Detection: 0.25
[08:57:08] Episode 22 | Step 25 | Defender gained 15.0 reward | Detection: 0.3
[08:57:08] Episode 22 | Step 26 | Defender gained 15.0 reward | Detection: 0.3
[08:57:08] Episode 22 | Step 29 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 22 | Step 31 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 22 | Step 35 | Defender gained 15.0 reward | Detection: 0.45
[08:57:08] Episode 22 | Step 36 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 22 | Step 36 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 22 | Step 39 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 22 | Step 40 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 22 | Step 46 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 22 | Step 47 | Defender gained 15.0 reward | Detection: 0.45
[08:57:08] Episode 22 | Step 49 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 23 | Step 5 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 23 | Step 10 | Defender gained 15.0 reward | Detection: 0.25
[08:57:08] Episode 23 | Step 14 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 24 | Step 1 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 24 | Step 5 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 24 | Step 7 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 24 | Step 11 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 24 | Step 16 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 24 | Step 17 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 24 | Step 22 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 24 | Step 24 | Defender gained 15.0 reward | Detection: 0.45
[08:57:08] Episode 24 | Step 27 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 24 | Step 31 | Defender gained 15.0 reward | Detection: 0.55
[08:57:08] Episode 24 | Step 35 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 24 | Step 39 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 24 | Step 40 | Defender gained 15.0 reward | Detection: 0.6
[08:57:08] Episode 24 | Step 42 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 24 | Step 43 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 24 | Step 44 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 24 | Step 45 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 24 | Step 48 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 24 | Step 49 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 24 | Step 50 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 25 | Step 2 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 25 | Step 3 | Defender gained 20.0 reward | Detection: 0.1
[08:57:08] Episode 25 | Step 5 | Defender gained 20.0 reward | Detection: 0.1
[08:57:08] Episode 25 | Step 8 | Defender gained 20.0 reward | Detection: 0.1
[08:57:08] Episode 25 | Step 10 | Defender gained 15.0 reward | Detection: 0.1
[08:57:08] Episode 25 | Step 12 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 25 | Step 13 | Attacker gained 20.0 reward | Position: N2
[08:57:08] Episode 25 | Step 14 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 26 | Step 9 | Attacker gained 100.0 reward | Position: N2
[08:57:08] Episode 27 | Step 1 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 27 | Step 10 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 27 | Step 15 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 27 | Step 16 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 27 | Step 17 | Defender gained 15.0 reward | Detection: 0.35
[08:57:08] Episode 27 | Step 21 | Defender gained 20.0 reward | Detection: 0.4
[08:57:08] Episode 27 | Step 22 | Defender gained 15.0 reward | Detection: 0.4
[08:57:08] Episode 27 | Step 25 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 27 | Step 25 | Defender gained 20.0 reward | Detection: 0.4
[08:57:08] Episode 27 | Step 28 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 27 | Step 29 | Defender gained 15.0 reward | Detection: 0.4
[08:57:08] Episode 27 | Step 36 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 27 | Step 38 | Defender gained 20.0 reward | Detection: 0.55
[08:57:08] Episode 27 | Step 39 | Defender gained 20.0 reward | Detection: 0.55
[08:57:08] Episode 27 | Step 40 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 27 | Step 41 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 27 | Step 41 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 27 | Step 44 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 27 | Step 45 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 27 | Step 47 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 27 | Step 48 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 27 | Step 49 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 27 | Step 50 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 28 | Step 8 | Attacker gained 10.0 reward | Position: N3
[08:57:08] Episode 28 | Step 11 | Defender gained 20.0 reward | Detection: 0.15
[08:57:08] Episode 28 | Step 13 | Defender gained 20.0 reward | Detection: 0.2
[08:57:08] Episode 28 | Step 18 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 28 | Step 19 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 28 | Step 22 | Defender gained 20.0 reward | Detection: 0.35
[08:57:08] Episode 28 | Step 25 | Defender gained 15.0 reward | Detection: 0.35
[08:57:08] Episode 28 | Step 27 | Defender gained 15.0 reward | Detection: 0.4
[08:57:08] Episode 28 | Step 29 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 28 | Step 30 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 28 | Step 32 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 28 | Step 33 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 28 | Step 35 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 28 | Step 36 | Defender gained 15.0 reward | Detection: 0.55
[08:57:08] Episode 28 | Step 39 | Defender gained 20.0 reward | Detection: 0.6
[08:57:08] Episode 28 | Step 40 | Attacker gained 10.0 reward | Position: N1
[08:57:08] Episode 28 | Step 44 | Defender gained 15.0 reward | Detection: 0.6
[08:57:08] Episode 28 | Step 45 | Attacker gained 20.0 reward | Position: N2
[08:57:08] Episode 28 | Step 46 | Defender gained 15.0 reward | Detection: 0.6
[08:57:08] Episode 29 | Step 7 | Defender gained 15.0 reward | Detection: 0.25
[08:57:08] Episode 29 | Step 12 | Defender gained 15.0 reward | Detection: 0.3
[08:57:08] Episode 29 | Step 13 | Defender gained 20.0 reward | Detection: 0.3
[08:57:08] Episode 29 | Step 19 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 29 | Step 21 | Defender gained 15.0 reward | Detection: 0.35
[08:57:08] Episode 29 | Step 24 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 29 | Step 26 | Defender gained 15.0 reward | Detection: 0.4
